Date,Open,High,Low,Close,Volume
2024-11-15 19:54:00,169.6600,169.6600,169.6600,169.6600,4
2024-11-15 19:40:00,169.6800,169.7500,169.5500,169.5500,176
2024-11-15 19:32:00,169.6800,169.6800,169.6800,169.6800,2
2024-11-15 19:18:00,169.6800,169.6800,169.6800,169.6800,1
2024-11-15 19:09:00,169.5400,169.5400,169.5400,169.5400,14000
2024-11-15 19:07:00,169.8800,169.8800,169.8800,169.8800,10
2024-11-15 19:01:00,169.5500,169.5500,169.5500,169.5500,4
2024-11-15 19:00:00,169.5400,169.5400,169.5400,169.5400,2078416
2024-11-15 18:54:00,169.5400,169.5400,169.5400,169.5400,1
2024-11-15 18:35:00,169.5500,169.5500,169.5500,169.5500,1
2024-11-15 18:30:00,169.5400,169.5400,169.5400,169.5400,2078416
2024-11-15 18:22:00,169.5400,169.5400,169.5400,169.5400,53
2024-11-15 18:12:00,169.8677,169.8677,169.8677,169.8677,143
2024-11-15 18:02:00,169.6700,169.6700,169.6700,169.6700,5
2024-11-15 17:52:00,169.5400,169.5400,169.5400,169.5400,3
2024-11-15 17:51:00,169.7700,169.7700,169.7700,169.7700,3
2024-11-15 17:50:00,169.5400,169.5400,169.5400,169.5400,40
2024-11-15 17:45:00,169.5500,169.5500,169.5500,169.5500,3
2024-11-15 17:44:00,169.5500,169.5500,169.5500,169.5500,1
2024-11-15 17:36:00,169.6800,169.6800,169.6800,169.6800,1
2024-11-15 17:34:00,169.6700,169.6700,169.6700,169.6700,1
2024-11-15 17:30:00,169.5500,169.5500,169.5500,169.5500,1
2024-11-15 17:28:00,169.5500,169.6300,169.5500,169.6300,2
2024-11-15 17:23:00,169.5400,169.5400,169.5400,169.5400,1
2024-11-15 17:16:00,169.6700,169.6700,169.6700,169.6700,2
2024-11-15 17:09:00,169.5410,169.5410,169.5410,169.5410,200
2024-11-15 17:06:00,169.6687,169.6687,169.6687,169.6687,3
2024-11-15 17:01:00,169.5500,169.5500,169.5400,169.5400,13
2024-11-15 17:00:00,169.5400,169.5400,169.5400,169.5400,2
2024-11-15 16:59:00,169.6200,169.6200,169.5400,169.5400,2
2024-11-15 16:57:00,169.6100,169.6200,169.6100,169.6200,8
2024-11-15 16:55:00,169.5400,169.5400,169.5400,169.5400,252286
2024-11-15 16:54:00,169.6300,169.6300,169.6300,169.6300,1
2024-11-15 16:52:00,169.5500,169.5500,169.5500,169.5500,1
2024-11-15 16:51:00,169.6700,169.6700,169.6700,169.6700,30
2024-11-15 16:48:00,169.5500,169.5500,169.5500,169.5500,1
2024-11-15 16:46:00,169.5500,169.5500,169.5500,169.5500,5
2024-11-15 16:41:00,169.6500,169.6500,169.6500,169.6500,4547
2024-11-15 16:39:00,169.6600,169.6700,169.6500,169.6500,1103
2024-11-15 16:38:00,169.6600,169.6700,169.6600,169.6600,16
2024-11-15 16:33:00,169.6611,169.6611,169.6611,169.6611,4
2024-11-15 16:31:00,169.6600,169.6600,169.5400,169.5400,731
2024-11-15 16:30:00,169.6400,169.6618,169.6300,169.6618,398
2024-11-15 16:27:00,169.6500,169.6500,169.6500,169.6500,1
2024-11-15 16:23:00,169.6500,169.6500,169.6500,169.6500,10
2024-11-15 16:19:00,169.5700,169.5700,169.5400,169.5400,1326
2024-11-15 16:18:00,169.6300,169.6300,169.6300,169.6300,3
2024-11-15 16:17:00,169.5400,169.6900,169.5400,169.6900,9811
2024-11-15 16:16:00,169.5400,169.5400,169.5400,169.5400,269
2024-11-15 16:15:00,169.5400,169.5400,169.5100,169.5100,27
2024-11-15 16:12:00,169.5500,169.5500,169.5500,169.5500,14
2024-11-15 16:11:00,169.5600,169.5600,169.5600,169.5600,4
2024-11-15 16:10:00,169.5400,170.0100,169.3900,170.0100,2078454
2024-11-15 16:09:00,169.3948,169.3948,169.3948,169.3948,356
2024-11-15 16:07:00,169.5233,169.5700,169.4000,169.5400,1069
2024-11-15 16:05:00,169.5400,169.8805,169.5000,169.8805,28
2024-11-15 16:04:00,169.5400,169.5400,169.5400,169.5400,4033
2024-11-15 16:03:00,169.5400,169.5400,169.5400,169.5400,79211
2024-11-15 16:02:00,169.5400,169.5400,169.5400,169.5400,16455
2024-11-15 16:01:00,169.5400,169.5400,169.4000,169.4000,6806
2024-11-15 16:00:00,169.5700,169.5700,169.5400,169.5400,4497167
2024-11-15 15:59:00,169.5900,169.7000,169.4900,169.5600,272611
2024-11-15 15:58:00,169.7100,169.7400,169.5900,169.5900,108931
2024-11-15 15:57:00,169.6900,169.7500,169.6900,169.7100,54498
2024-11-15 15:56:00,169.7300,169.7650,169.6700,169.6900,58082
2024-11-15 15:55:00,169.6100,169.7800,169.6100,169.7300,54337
2024-11-15 15:54:00,169.5300,169.6600,169.5300,169.6100,46545
2024-11-15 15:53:00,169.5450,169.5500,169.4700,169.5350,43178
2024-11-15 15:52:00,169.4900,169.5500,169.4300,169.5400,42948
2024-11-15 15:51:00,169.5600,169.5650,169.4400,169.4950,44873
2024-11-15 15:50:00,169.6000,169.6000,169.4100,169.5600,54820
2024-11-15 15:49:00,169.6600,169.6650,169.6000,169.6000,24869
2024-11-15 15:48:00,169.5900,169.6600,169.5800,169.6600,19897
2024-11-15 15:47:00,169.5700,169.6300,169.5650,169.5927,20891
2024-11-15 15:46:00,169.6000,169.6200,169.5300,169.5700,20047
2024-11-15 15:45:00,169.7250,169.7290,169.5800,169.5900,20422
2024-11-15 15:44:00,169.7200,169.7500,169.7000,169.7200,17868
2024-11-15 15:43:00,169.7550,169.7600,169.6800,169.7300,13869
2024-11-15 15:42:00,169.7600,169.7900,169.7400,169.7500,10855
2024-11-15 15:41:00,169.7125,169.7500,169.6950,169.7400,17785
2024-11-15 15:40:00,169.8400,169.8700,169.7150,169.7150,10549
2024-11-15 15:39:00,169.9400,169.9650,169.8400,169.8450,18793
2024-11-15 15:38:00,169.8300,169.9600,169.8300,169.9450,51693
2024-11-15 15:37:00,169.8200,169.8200,169.7300,169.8100,25250
2024-11-15 15:36:00,169.7700,169.8300,169.7600,169.8250,16500
2024-11-15 15:35:00,169.7200,169.8200,169.7100,169.7900,34452
2024-11-15 15:34:00,169.6600,169.7100,169.6500,169.7100,16867
2024-11-15 15:33:00,169.6400,169.6650,169.5966,169.6409,20554
2024-11-15 15:32:00,169.5800,169.6400,169.5600,169.6200,32815
2024-11-15 15:31:00,169.5700,169.6000,169.5700,169.5701,17517
2024-11-15 15:30:00,169.6600,169.6700,169.5700,169.5700,19971
2024-11-15 15:29:00,169.7050,169.7050,169.6300,169.6500,12439
2024-11-15 15:28:00,169.7000,169.7200,169.7000,169.7000,8105
2024-11-15 15:27:00,169.8400,169.8450,169.6850,169.6900,12771
2024-11-15 15:26:00,169.8400,169.8600,169.8200,169.8599,10908
2024-11-15 15:25:00,169.9218,169.9400,169.8200,169.8400,12210
2024-11-15 15:24:00,169.9700,170.0100,169.9300,169.9350,12835
2024-11-15 15:23:00,170.0500,170.0500,169.9600,169.9700,12551
2024-11-15 15:22:00,170.0900,170.0900,170.0400,170.0500,11523
2024-11-15 15:21:00,170.1300,170.1700,170.0900,170.0900,15949
